Sample Group,Source Plate Type,Source Well,Source Plate Name,Destination Plate Name,Destination Well,Transfer Volume
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B10,1600.0
AQ,384PP_AQ_SP2,B2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B10,2400.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B11,5000.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B11,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B11,1500.0
AQ,384PP_AQ_SP2,B19,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B11,2500.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B12,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B12,3000.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B12,5000.0
AQ,384PP_AQ_SP2,B11,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B12,1000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B13,1900.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B13,5000.0
AQ,384PP_AQ_SP2,B15,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B13,2100.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B13,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B14,
AQ,384PP_AQ_SP2,B14,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B14,
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B14,5000.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B14,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B15,
AQ,384PP_AQ_SP2,B13,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B15,
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B15,5000.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B15,5000.0
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B16,5000.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B16,5000.0
AQ,384PP_AQ_SP2,B12,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B16,1100.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B16,2900.0
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B17,5000.0
AQ,384PP_AQ_SP2,B21,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B17,
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B17,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B17,
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B18,5000.0
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B18,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B18,
AQ,384PP_AQ_SP2,B9,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B18,
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B19,5000.0
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B19,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B19,
AQ,384PP_AQ_SP2,B20,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B19,
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B2,1100.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B2,5000.0
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B2,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B2,2900.0
AQ,384PP_AQ_SP2,B5,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B20,3300.0
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B20,5000.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B20,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B20,700.0
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B21,5000.0
AQ,384PP_AQ_SP2,B23,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B21,
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B21,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B21,
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B22,5000.0
AQ,384PP_AQ_SP2,B4,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B22,2900.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B22,1100.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B22,5000.0
AQ,384PP_AQ_SP2,B24,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B23,
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B23,
AQ,384PP_AQ_SP2,A18,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B23,5000.0
AQ,384PP_AQ_SP2,A11,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B23,5000.0
AQ,384PP_AQ_SP2,B22,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B24,
AQ,384PP_AQ_SP2,A15,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B24,5000.0
AQ,384PP_AQ_SP2,A20,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B24,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B24,
AQ,384PP_AQ_SP2,B3,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B3,1300.0
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B3,5000.0
AQ,384PP_AQ_SP2,A14,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B3,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B3,2700.0
AQ,384PP_AQ_SP2,A14,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B4,5000.0
AQ,384PP_AQ_SP2,A24,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B4,3300.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B4,700.0
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B4,5000.0
AQ,384PP_AQ_SP2,B7,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B5,
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B5,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B5,
AQ,384PP_AQ_SP2,A14,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B5,5000.0
AQ,384PP_AQ_SP2,A14,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B6,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B6,
AQ,384PP_AQ_SP2,B22,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B6,
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B6,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B7,1100.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B7,5000.0
AQ,384PP_AQ_SP2,B17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B7,2900.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B7,5000.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B8,5000.0
AQ,384PP_AQ_SP2,B8,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B8,2700.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B8,1300.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B8,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B9,
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B9,5000.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B9,5000.0
AQ,384PP_AQ_SP2,B22,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,B9,
AQ,384PP_AQ_SP2,B24,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C1,
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C1,
AQ,384PP_AQ_SP2,A15,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C1,5000.0
AQ,384PP_AQ_SP2,A20,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C1,5000.0
AQ,384PP_AQ_SP2,A15,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C2,5000.0
AQ,384PP_AQ_SP2,A20,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C2,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C2,1100.0
AQ,384PP_AQ_SP2,B4,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C2,2900.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C3,3000.0
AQ,384PP_AQ_SP2,A20,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C3,5000.0
AQ,384PP_AQ_SP2,B11,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C3,1000.0
AQ,384PP_AQ_SP2,A15,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C3,5000.0
AQ,384PP_AQ_SP2,A15,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C4,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C4,700.0
AQ,384PP_AQ_SP2,B5,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C4,3300.0
AQ,384PP_AQ_SP2,A20,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C4,5000.0
AQ,384PP_AQ_SP2,A20,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C5,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C5,2200.0
AQ,384PP_AQ_SP2,A15,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C5,5000.0
AQ,384PP_AQ_SP2,B18,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C5,1800.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C6,1100.0
AQ,384PP_AQ_SP2,A20,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C6,5000.0
AQ,384PP_AQ_SP2,A15,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C6,5000.0
AQ,384PP_AQ_SP2,B17,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C6,2900.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C7,1800.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C7,5000.0
AQ,384PP_AQ_SP2,C1,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C7,2200.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C7,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C8,1800.0
AQ,384PP_AQ_SP2,A15,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C8,5000.0
AQ,384PP_AQ_SP2,C1,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C8,2200.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C8,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C9,1800.0
AQ,384PP_AQ_SP2,C1,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C9,2200.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C9,5000.0
AQ,384PP_AQ_SP2,A19,Parts_Library_DBTL2,Ligation_Digestion_DBTL2,C9,5000.0
