Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_0366,,,1.203607361909735,1.45839911414278,0.39388304174415034,1.3462577788600336,-0.2052772041637375,1.9804475899537717,-0.7888597480194351,1.6312960043101048,,,,,,,,,,,,,,,,,,,,
PP_0368,,,0.5312775257261791,4.049813116925274,,,-0.39891205818608594,4.941360662569147,,,,,,,0.31800144548420595,1.7660828819339034,,,,,2.165957262155665,2.8826477800730066,,,,,,,0.32594321550568595,5.436849649770397
PP_1607,,,0.4387879327188425,6.311870656405555,,,,,,,,,,,,,,,,,-1.0236801916142153,1.3674819393045488,,,,,,,,
PP_1913,,,0.3591808674914311,1.458259118417597,,,,,,,,,-0.25287104046837644,1.9745407845434393,-0.2582623387958156,2.140339224586073,-0.29129512326192714,2.7175924332997723,,,,,-0.4366321520814077,8.033836891675634,,,-0.30614006708401165,1.4700833638166546,-0.30946033073430623,4.838441212155027
PP_1996,,,0.4297978397217544,1.5663788661520628,0.17897797477265506,1.6934359884279566,,,,,,,0.2711962091086269,3.4495679649692135,,,,,,,-1.4352873601452973,1.9076346980568237,,,,,0.3852921170339372,1.6248332353576371,,
PP_2217,,,0.5680102727774637,5.2318039593954095,0.22597125038171706,3.1292524707627907,-1.0178174524720378,1.9123310544141048,-0.7650598674876476,1.4408104597207319,-0.6921656889516132,2.2916166432072655,-0.6529962723049311,1.804810635714954,-0.38053989095654084,2.34911189252288,-0.8355563785204193,1.9971373684739266,-0.9766019811003449,2.289274285496242,-0.24577833544710642,1.4665301484799433,-0.9994229358022271,4.159226985871212,-1.2017505337718075,3.0102309932201368,,,-0.9248845741113765,3.2363775216618897
PP_4635,,,0.25191714643432966,2.096429989950868,,,-0.44084002928118926,4.85557849405093,,,,,,,,,,,,,0.20165861060857748,1.3359148564320602,-0.21680586665362886,6.219617346250891,,,,,,
PP_1893,,,,,0.560848485790858,1.7048949516191279,,,,,,,,,,,,,0.4440716914501185,1.5010137358173623,,,,,-1.6641597784327202,1.7789361280626919,1.312370992167836,2.42872269071026,,
PP_1914,,,,,,,0.2911101167556063,4.421254621817997,0.23148501061059354,6.059867892686424,0.20977679584822362,2.1819475489680666,,,,,,,0.6885651630618295,2.5457100674286655,,,,,,,,,0.4267925845373027,2.070291084988227
PP_0581,,,,,,,,,-0.7522392654003237,2.946987011638222,-0.8387759909852763,1.7243839556895266,,,,,,,,,,,-0.8980321097477757,1.4391477425294692,-0.7419302005163705,2.2154786131905264,1.1203353526146225,2.017206774140107,-1.0532061626904528,4.126438851542695
PP_4174,,,,,,,,,0.32537616307421596,3.3049571580495365,,,0.21998060367178832,3.139426072544055,,,0.3497604461912573,7.879410269402689,,,,,0.3407487901073709,1.4024747287459425,,,,,,
PP_1845,,,,,,,,,,,,,0.6535313827627975,1.974392976097067,,,,,-1.3553101920137627,1.5684874968608602,,,-0.27365252822870995,1.4259910698741776,,,,,,
PP_4984,,,,,,,,,,,,,,,1.0849404146623782,1.7806908408158848,0.8385470617255792,1.8524581066931702,,,,,,,,,,,,
PP_1916,,,,,,,,,,,,,,,,,-0.4266217368554871,5.885083423971862,,,,,,,,,,,,
PP_1602,,,,,,,,,,,,,,,,,,,,,-0.3089780061770485,1.5481671335852278,,,,,,,,
